UniqueCount	AmbigCount
0	0
0	0
2	0
7	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
189	4135
0	2451
0	3997
0	123
44	123
0	0
0	0
0	0
0	0
176	0
5	34
0	34
373	352
0	352
36	1806
0	27
2	0
0	0
11	52
25	151
0	151
56	74
0	74
0	74
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8999	0
7166	0
91768	0
23888	0
746	0
11298	0
24400	0
1495	0
1510	0
12451	0
10447	0
2467	0
17881	0
0	165
4	172
44	7
42696	7793
5	7
119	0
41	0
98	0
6	0
0	0
106	0
8	266
75	332
0	0
0	0
115	0
128	496
20	519
124	0
463	0
283	515
0	1081
58	1081
3	2
679	2
6	25
4	3
0	0
0	0
0	86
9	86
14	1
92	67
209	67
0	0
160	49
1346	0
7	0
0	0
0	0
448	113
395	5
0	0
19	0
346	85
164	0
0	0
17	19
0	0
0	0
78	0
318	0
46	0
31	0
49	117
172	148
0	148
76	60
0	0
0	0
1322	0
0	0
0	0
42	0
2	0
44	0
48	0
2499	0
53	0
0	0
180	0
3	0
0	1
0	1
461	49
83	0
4	5
0	0
232	0
0	85
0	0
0	0
57	227
0	227
45	6
0	47
0	53
157	118
0	39
0	7
0	7
75	5
139	0
0	0
12	0
0	0
73	18
5	0
12	104
4	104
9	0
11	3
4	0
0	0
7	31
2	0
0	629
180	629
2109	0
261	0
6	2
11	3
17	490
301	499
22	0
39	0
338	0
84	0
0	0
42	0
37	0
0	6
0	6
0	6
219	0
107	2
0	0
6	0
0	0
3	0
24	132
313	0
0	7793
185	0
13	0
2	0
1256	37
2	1
0	1
35	0
